Exercise Name,Category,Muscle Group,Beginner Sets,Beginner Reps,Beginner Weight (kg),Intermediate Weight (kg),Advanced Weight (kg)
Bench Press,Strength,Chest,3,12,20,40,80
Squat,Strength,Legs,3,12,30,60,120
Deadlift,Strength,Back,3,10,40,80,160
Overhead Press,Strength,Shoulders,3,10,20,35,60
Pull-ups,Strength,Back,3,8,0,0,0
Dumbbell Curls,Strength,Biceps,3,12,10,15,25
Lunges,Strength,Legs,3,10,15,25,40
Plank,Mobility,Core,3,30,0,0,0
Lat Pulldown,Strength,Back,3,10,30,50,80
Tricep Dips,Strength,Triceps,3,10,10,20,35
Barbell Rows,Strength,Back,3,12,25,50,80
Leg Press,Strength,Legs,3,12,50,90,150
Bicep Curls,Strength,Biceps,3,12,10,15,25
Push-ups,Strength,Chest,3,15,0,0,0
Cable Fly,Strength,Chest,3,10,15,30,50
Hamstring Curls,Strength,Legs,3,12,20,35,60
Seated Shoulder Press,Strength,Shoulders,3,10,15,30,50
Chest Fly,Strength,Chest,3,10,12,25,40
Treadmill Running,Cardio,Full Body,3,20,0,0,0
Cycling,Cardio,Legs,3,25,0,0,0
